From Type,source,Edge,To Type,target,Weight
Precedents,Marques de Riscal Hotel,serves as a ,Programme,Residence,
Precedents,Marques de Riscal Hotel,is built using,Material,Titanium,
Precedents,Marques de Riscal Hotel,is built using,Material,Steel,
Precedents,Marques de Riscal Hotel,has Attribute,Attribute,flowing shapes,
Precedents,Marques de Riscal Hotel,relates to,Sub-Aspects,Operation: Curve,
Precedents,Monticello ,is designed by,Architect,Thomas Jefferson,
Precedents,Monticello ,is designed/built in,Year,1772,
Precedents,Monticello ,is located in,Location,United States,
Precedents,Monticello ,has Style,Style,Neoclassicism,
Precedents,Monticello ,serves as a ,Programme,Library,
Precedents,Monticello ,is built using,Material,Wood,
Precedents,Monticello ,is built using,Material,Brick,
Precedents,Monticello ,has Attribute,Attribute,Doric entablature,
Precedents,Monticello ,has Attribute,Attribute,extended portico,
Precedents,Monticello ,has Attribute,Attribute,Doric columns,
Precedents,Monticello ,has Attribute,Attribute,triangle pediment,
Precedents,Monticello ,has Attribute,Attribute,octagonal drum,
Precedents,Monticello ,has Attribute,Attribute,shallow dome,
Precedents,Monticello ,has Attribute,Attribute,wooden balustrade,
Precedents,Monticello ,has Principle,Principle,verticality,
Precedents,Monticello ,relates to,Sub-Aspects,Ordering Principle: Symmetry,
Precedents,Montreal Biosphere,is designed by,Architect,Buckminster Fuller,
Precedents,Montreal Biosphere,is designed/built in,Year,1967,
Precedents,Montreal Biosphere,is located in,Location,Canada,
Precedents,Montreal Biosphere,has Style,Style,Futuristic,
Precedents,Montreal Biosphere,serves as a ,Programme,Museum,
Precedents,Montreal Biosphere,is built using,Material,Acrylic,
Precedents,Montreal Biosphere,is built using,Material,Steel,
Precedents,Montreal Biosphere,has Attribute,Attribute,membrane,
Precedents,Montreal Biosphere,has Principle,Principle,fragmentation,
Precedents,Montreal Biosphere,has Principle,Principle,nakedness,
Precedents,Montreal Biosphere,relates to,Sub-Aspects,Structure: Space Frame,
Precedents,MoPOP,is designed by,Architect, Frank Gehry,
Precedents,MoPOP,is designed/built in,Year,2000,
Precedents,MoPOP,is located in,Location,United States,
Precedents,MoPOP,has Style,Style,Deconstructivism,
Precedents,MoPOP,serves as a ,Programme,Museum,
Precedents,MoPOP,is built using,Material,Aluminium,
Precedents,MoPOP,is built using,Material,Steel,
Precedents,MoPOP,has Attribute,Attribute,textures,
Precedents,MoPOP,has Attribute,Attribute,colours,
Precedents,MoPOP,has Attribute,Attribute,energy,
Precedents,MoPOP,has Principle,Principle,fluidity,
Precedents,MoPOP,has Principle,Principle,evolving,
Precedents,MoPOP,relates to,Sub-Aspects,Operation: Crumple,
Precedents,Munich Olympic Stadium,is designed by,Architect,Behnisch & Partner,
Precedents,Munich Olympic Stadium,is designed by,Architect,Frei Otto,
Precedents,Munich Olympic Stadium,is designed by,Architect,"Leonhardt, Andrä und Partner",
Precedents,Munich Olympic Stadium,is designed/built in,Year,1972,
Precedents,Munich Olympic Stadium,is located in,Location,Germany,
Precedents,Munich Olympic Stadium,has Style,Style,Modern,
Precedents,Munich Olympic Stadium,serves as a ,Programme,Stadium,
Precedents,Munich Olympic Stadium,is built using,Material,Acrylic,
Precedents,Munich Olympic Stadium,is built using,Material,Steel,
Precedents,Munich Olympic Stadium,has Attribute,Attribute,canopy,
Precedents,Munich Olympic Stadium,has Attribute,Attribute,lightweight,
Precedents,Munich Olympic Stadium,relates to,Sub-Aspects,Structure: Tensile,
Precedents,Munich Olympic Stadium,relates to,Sub-Aspects,Operation: Pull,
Precedents,National Aquatics Center Beijing,is designed by,Architect,PTW Architects,
Precedents,National Aquatics Center Beijing,is designed by,Architect,CSCEC & DESIGN,
Precedents,National Aquatics Center Beijing,is designed/built in,Year,2007,
Precedents,National Aquatics Center Beijing,is located in,Location,China,
Precedents,National Aquatics Center Beijing,has Style,Style,Deconstructivism,
Precedents,National Aquatics Center Beijing,serves as a ,Programme,Stadium,
Precedents,National Aquatics Center Beijing,is built using,Material,ETFE,
Precedents,National Aquatics Center Beijing,has Attribute,Attribute,green,
Precedents,National Aquatics Center Beijing,has Attribute,Attribute,slicing,
Precedents,National Aquatics Center Beijing,has Principle,Principle,irregular,
Precedents,National Aquatics Center Beijing,has Principle,Principle,organic,
Precedents,National Aquatics Center Beijing,relates to,Sub-Aspects,Structure: Space Frame,
Precedents,National Aquatics Center Beijing,relates to,Sub-Aspects,Operation: Inflate,
Precedents,Villa Savoye,is designed by,Architect,Le Corbusier,
Precedents,Villa Savoye,is designed/built in,Year,1929,
Precedents,Villa Savoye,is located in,Location,France,
Precedents,Villa Savoye,has Style,Style,International,
Precedents,Villa Savoye,serves as a ,Programme,Residence,
Precedents,Villa Savoye,is built using,Material,Glass,
Precedents,Villa Savoye,is built using,Material,Concrete,
Precedents,Villa Savoye,is built using,Material,Steel,
Precedents,Villa Savoye,has Attribute,Attribute,open-plan,
Precedents,Villa Savoye,has Attribute,Attribute,architectural promenade,
Precedents,Villa Savoye,has Attribute,Attribute,adjoined units,
Precedents,Villa Savoye,has Attribute,Attribute,structural fields,
Precedents,Villa Savoye,has Attribute,Attribute,squares,
Precedents,Villa Savoye,has Attribute,Attribute,four-square,
Precedents,Villa Savoye,has Attribute,Attribute,meander,
Precedents,Villa Savoye,has Principle,Principle,mechanistic,
Precedents,Villa Savoye,has Principle,Principle,machine for living,
Precedents,Villa Savoye,has Principle,Principle,efficiency,
Precedents,Villa Savoye,has Principle,Principle,Five Points of Architecture,
Precedents,Villa Savoye,has Principle,Principle,minimalist,
Precedents,Villa Savoye,has Principle,Principle,spatial interplay,
Precedents,Villa Savoye,has Principle,Principle,open-plan,
Precedents,Villa Savoye,has Principle,Principle,monumentality,
Precedents,Villa Savoye,has Principle,Principle,proportional plan to section relationships,
Precedents,Villa Savoye,has Principle,Principle,subtraction,
Precedents,Villa Savoye,has Principle,Principle,bounded frame,
Precedents,Villa Savoye,has Principle,Principle,positive-negative balance line,
Precedents,Villa Savoye,relates to,Sub-Aspects,Structure: Columns,
Precedents,National Museum of Qatar,is designed by,Architect,Jean Nouvel,
Precedents,National Museum of Qatar,is designed/built in,Year,2019,
Precedents,National Museum of Qatar,is located in,Location,Qatar,
Precedents,National Museum of Qatar,has Style,Style,Contemporary,
Precedents,National Museum of Qatar,serves as a ,Programme,Museum,
Precedents,National Museum of Qatar,is built using,Material,Concrete,
Precedents,National Museum of Qatar,is built using,Material,Stone,
Precedents,National Museum of Qatar,has Attribute,Attribute,undulating,
Precedents,National Museum of Qatar,has Principle,Principle,interlocking,
Precedents,National Museum of Qatar,has Principle,Principle,monochromatic,
Precedents,National Museum of Qatar,has Principle,Principle,neutral,
Precedents,National Museum of Qatar,relates to,Sub-Aspects,Operation: Slot,
Precedents,New Museum,is designed by,Architect,SANAA,
Precedents,New Museum,is designed/built in,Year,1977,
Precedents,New Museum,is located in,Location,United States,
Precedents,New Museum,has Style,Style,Modern,
Precedents,New Museum,serves as a ,Programme,Museum,
Precedents,New Museum,is built using,Material,Aluminium,
Precedents,New Museum,has Attribute,Attribute,cubes,
Precedents,New Museum,has Attribute,Attribute,natural light,
Precedents,New Museum,has Attribute,Attribute,clean,
Precedents,New Museum,has Attribute,Attribute,light,
Precedents,New Museum,has Attribute,Attribute,elegant,
Precedents,New Museum,has Attribute,Attribute,semi-transparent,
Precedents,New Museum,has Principle,Principle,dynamicity,
Precedents,New Museum,has Principle,Principle,shifting,
Precedents,New Museum,relates to,Sub-Aspects,Circulation: Vertical,
Precedents,Phillips Exeter Academy Library,is designed by,Architect,Louis Kahn,
Precedents,Phillips Exeter Academy Library,is designed/built in,Year,1972,
Precedents,Phillips Exeter Academy Library,is located in,Location,United States,
Precedents,Phillips Exeter Academy Library,has Style,Style,Modern,
Precedents,Phillips Exeter Academy Library,serves as a ,Programme,Library,
Precedents,Phillips Exeter Academy Library,is built using,Material,Wood,
Precedents,Phillips Exeter Academy Library,is built using,Material,Concrete,
Precedents,Phillips Exeter Academy Library,is built using,Material,Brick,
Precedents,Phillips Exeter Academy Library,is built using,Material,Stone,
Precedents,Phillips Exeter Academy Library,is built using,Material,Slate,
Precedents,Phillips Exeter Academy Library,has Attribute,Attribute,natural light,
Precedents,Phillips Exeter Academy Library,has Attribute,Attribute,terrace,
Precedents,Phillips Exeter Academy Library,has Attribute,Attribute,clerestory windows,
Precedents,Phillips Exeter Academy Library,has Principle,Principle,punctured,
Precedents,Phillips Exeter Academy Library,relates to,Sub-Aspects,Circulation: Radial,
Precedents,Poly Grand Theater,is designed by,Architect,Tadao Ando Architect & Associates,
Precedents,Poly Grand Theater,is designed/built in,Year,2014,
Precedents,Poly Grand Theater,is located in,Location,China,
Precedents,Poly Grand Theater,has Style,Style,Contemporary,
Precedents,Poly Grand Theater,serves as a ,Programme,Concert Hall / Theatre,
Precedents,Poly Grand Theater,is built using,Material,Concrete,
Precedents,Poly Grand Theater,is built using,Material,Glass,
Precedents,Poly Grand Theater,is built using,Material,Aluminium,
Precedents,Poly Grand Theater,has Attribute,Attribute,openings,
Precedents,Poly Grand Theater,has Principle,Principle,playfulness,
Precedents,Poly Grand Theater,has Principle,Principle,carved,
Precedents,Poly Grand Theater,has Principle,Principle,contrast,
Precedents,Poly Grand Theater,has Principle,Principle,serenity,
Precedents,Poly Grand Theater,relates to,Sub-Aspects,Operation: Subtract,
Precedents,Punta Della Dogana,is designed by,Architect,Tadao Ando Architect & Associates,
Precedents,Punta Della Dogana,is designed/built in,Year,2009,
Precedents,Punta Della Dogana,is located in,Location,Italy,
Precedents,Punta Della Dogana,has Style,Style,Critical regionalism,
Precedents,Punta Della Dogana,has Style,Style,Baroque,
Precedents,Punta Della Dogana,serves as a ,Programme,Museum,
Precedents,Punta Della Dogana,is built using,Material,Brick,
Precedents,Punta Della Dogana,is built using,Material,Plaster,
Precedents,Punta Della Dogana,is built using,Material,Wood,
Precedents,Punta Della Dogana,has Attribute,Attribute,protective shell,
Precedents,Punta Della Dogana,has Attribute,Attribute,skylight,
Precedents,Punta Della Dogana,has Attribute,Attribute,natural light,
Precedents,Punta Della Dogana,has Principle,Principle,simple,
Precedents,Punta Della Dogana,has Principle,Principle,rational,
Precedents,Punta Della Dogana,has Principle,Principle,emblematic,
Precedents,Punta Della Dogana,has Principle,Principle,conservation,
Precedents,Punta Della Dogana,has Principle,Principle,juxtaposition,
Precedents,Punta Della Dogana,relates to,Sub-Aspects,"Site: Heritage
",
Precedents,Rietveld-Schroeder House,is designed by,Architect,Gerrit Rietveld,
Precedents,Rietveld-Schroeder House,is designed/built in,Year,1925,
Precedents,Rietveld-Schroeder House,is located in,Location,The Netherlands,
Precedents,Rietveld-Schroeder House,has Style,Style,Modern,
Precedents,Rietveld-Schroeder House,serves as a ,Programme,Residence,
Precedents,Rietveld-Schroeder House,is built using,Material,Concrete,
Precedents,Rietveld-Schroeder House,is built using,Material,Steel,
Precedents,Rietveld-Schroeder House,is built using,Material,Brick,
Precedents,Rietveld-Schroeder House,is built using,Material,Plaster,
Precedents,Rietveld-Schroeder House,is built using,Material,Wood,
Precedents,Rietveld-Schroeder House,has Attribute,Attribute,flexible interior spaces,
Precedents,Rietveld-Schroeder House,has Attribute,Attribute,portable partitions,
Precedents,Rietveld-Schroeder House,has Attribute,Attribute,collapsable walls,
Precedents,Rietveld-Schroeder House,has Attribute,Attribute,central staircase,
Precedents,Rietveld-Schroeder House,has Attribute,Attribute,paint,
Precedents,Rietveld-Schroeder House,has Principle,Principle,visionary,
Precedents,Rietveld-Schroeder House,has Principle,Principle,eccentric,
Precedents,Rietveld-Schroeder House,has Principle,Principle,planar,
Precedents,Rietveld-Schroeder House,has Principle,Principle,De Stijl,
Precedents,Rietveld-Schroeder House,has Principle,Principle,primary colours,
Precedents,Rietveld-Schroeder House,has Principle,Principle,transformable,
Precedents,Rietveld-Schroeder House,relates to,Sub-Aspects,Operation: Add,
Precedents,Sainsbury Center,is designed by,Architect,Foster + Partners,
Precedents,Sainsbury Center,is designed/built in,Year,1978,
Precedents,Sainsbury Center,is located in,Location,England,
Precedents,Sainsbury Center,has Style,Style,High-tech,
Precedents,Sainsbury Center,serves as a ,Programme,Gallery,
Precedents,Sainsbury Center,serves as a ,Programme,Museum,
Precedents,Sainsbury Center,is built using,Material,Steel,
Precedents,Sainsbury Center,is built using,Material,Aluminium,
Precedents,Sainsbury Center,has Attribute,Attribute,flexible enclosure,
Precedents,Sainsbury Center,has Attribute,Attribute,universal space,
Precedents,Sainsbury Center,has Attribute,Attribute,free-flowing spaces,
Precedents,Sainsbury Center,has Attribute,Attribute,open-plan,
Precedents,Sainsbury Center,has Attribute,Attribute,portable partitions,
Precedents,Sainsbury Center,has Attribute,Attribute,double skin,
Precedents,Sainsbury Center,has Attribute,Attribute,prefabricated,
Precedents,Sainsbury Center,has Principle,Principle,open-plan,
Precedents,Sainsbury Center,has Principle,Principle,uncluttered,
Precedents,Sainsbury Center,relates to,Sub-Aspects,Structure: Space Frame,
Precedents,Samuel Freeman House,is designed by,Architect,Frank Lloyd Wright,
Precedents,Samuel Freeman House,is designed/built in,Year,1922,
Precedents,Samuel Freeman House,is located in,Location,United States,
Precedents,Samuel Freeman House,has Style,Style,Modern ,
Precedents,Samuel Freeman House,serves as a ,Programme,Residence,
Precedents,Samuel Freeman House,is built using,Material,Wood,
Precedents,Samuel Freeman House,is built using,Material,Concrete,
Precedents,Samuel Freeman House,is built using,Material,Textile-block,
Precedents,Samuel Freeman House,has Attribute,Attribute,textile-block,
Precedents,Samuel Freeman House,relates to,Sub-Aspects,Ordering Principle: Transformation,
Precedents,Sharp Centre for Design,is designed by,Architect,Alsop Architects,
Precedents,Sharp Centre for Design,is designed/built in,Year,2014,
Precedents,Sharp Centre for Design,is located in,Location,Canada,
Precedents,Sharp Centre for Design,has Style,Style,Contemporary,
Precedents,Sharp Centre for Design,serves as a ,Programme,Education Institution,
Precedents,Sharp Centre for Design,is built using,Material,Steel,
Precedents,Sharp Centre for Design,is built using,Material,Aluminium,
Precedents,Sharp Centre for Design,has Attribute,Attribute,public plaza,
Precedents,Sharp Centre for Design,has Attribute,Attribute,box,
Precedents,Sharp Centre for Design,has Principle,Principle,suspended,
Precedents,Sharp Centre for Design,has Principle,Principle,conventional,
Precedents,Sharp Centre for Design,has Principle,Principle,views,
Precedents,Sharp Centre for Design,relates to,Sub-Aspects,Operation: Add,
Precedents,Sher-e-bangla Nagar,is designed by,Architect,Louis Kahn,
Precedents,Sher-e-bangla Nagar,is designed/built in,Year,1963,
Precedents,Sher-e-bangla Nagar,is located in,Location,Bangladesh,
Precedents,Sher-e-bangla Nagar,has Style,Style,International,
Precedents,Sher-e-bangla Nagar,has Style,Style,Postmodern,
Precedents,Sher-e-bangla Nagar,has Style,Style,Critical Regionalism,
Precedents,Sher-e-bangla Nagar,serves as a ,Programme,Civic Building,
Precedents,Sher-e-bangla Nagar,is built using,Material,Concrete,
Precedents,Sher-e-bangla Nagar,has Attribute,Attribute,perforations ,
Precedents,Sher-e-bangla Nagar,has Attribute,Attribute,cavernous,
Precedents,Sher-e-bangla Nagar,has Principle,Principle,miniature city,
Precedents,Sher-e-bangla Nagar,has Principle,Principle,rectilinear,
Precedents,Sher-e-bangla Nagar,has Principle,Principle,diagonal,
Precedents,Sher-e-bangla Nagar,has Principle,Principle,orthogonal,
Precedents,Sher-e-bangla Nagar,has Principle,Principle,concavity,
Precedents,Sher-e-bangla Nagar,has Principle,Principle,convexity,
Precedents,Sher-e-bangla Nagar,relates to,Sub-Aspects,Circulation: Radial,
Precedents,"Social Science Research Centre, Germany",is designed by,Architect,James Stirling,
Precedents,"Social Science Research Centre, Germany",is designed by,Architect,Michael Wilford,
Precedents,"Social Science Research Centre, Germany",is designed/built in,Year,1988,
Precedents,"Social Science Research Centre, Germany",is located in,Location,Germany,
Precedents,"Social Science Research Centre, Germany",has Style,Style,Postmodern,
Precedents,"Social Science Research Centre, Germany",serves as a ,Programme,Institute,
Precedents,"Social Science Research Centre, Germany",is built using,Material,Concrete,
Precedents,"Social Science Research Centre, Germany",is built using,Material,Ceramic,
Precedents,"Social Science Research Centre, Germany",has Attribute,Attribute,non-bureaucratic ,
Precedents,"Social Science Research Centre, Germany",has Attribute,Attribute,hexgonal campanile,
Precedents,"Social Science Research Centre, Germany",has Attribute,Attribute,axes,
Precedents,"Social Science Research Centre, Germany",has Principle,Principle,friendly,
Precedents,"Social Science Research Centre, Germany",relates to,Sub-Aspects,Ordering Principle: Datum,
Precedents,Starhill Gallery,is designed by,Architect,Spark Architects,
Precedents,Starhill Gallery,is designed/built in,Year,1996,
Precedents,Starhill Gallery,is located in,Location,Malaysia,
Precedents,Starhill Gallery,has Style,Style,Modern,
Precedents,Starhill Gallery,serves as a ,Programme,Retail,
Precedents,Starhill Gallery,is built using,Material,Glass,
Precedents,Starhill Gallery,is built using,Material,Steel,
Precedents,Starhill Gallery,is built using,Material,Stone,
Precedents,Starhill Gallery,has Attribute,Attribute,visual connections,
Precedents,Starhill Gallery,has Principle,Principle,fractured,
Precedents,Starhill Gallery,has Principle,Principle,solidity,
Precedents,Starhill Gallery,has Principle,Principle,transparency,
Precedents,Starhill Gallery,has Principle,Principle,cutting-edge,
Precedents,Starhill Gallery,has Principle,Principle,visual connections,
Precedents,Starhill Gallery,relates to,Sub-Aspects,Operation: Chamfer,
Precedents,Stockholm Public Library,is designed by,Architect,Gunnar Asplund,
Precedents,Stockholm Public Library,is designed/built in,Year,1928,
Precedents,Stockholm Public Library,is located in,Location,Sweden,
Precedents,Stockholm Public Library,has Style,Style,Nordic Classicism,
Precedents,Stockholm Public Library,serves as a ,Programme,Library,
Precedents,Stockholm Public Library,is built using,Material,Wood,
Precedents,Stockholm Public Library,is built using,Material,Stone,
Precedents,Stockholm Public Library,is built using,Material,Concrete,
Precedents,Stockholm Public Library,has Attribute,Attribute,simple geometry,
Precedents,Stockholm Public Library,has Attribute,Attribute,cavernous,
Precedents,Stockholm Public Library,has Attribute,Attribute,terrace,
Precedents,Stockholm Public Library,has Principle,Principle,classical,
Precedents,Stockholm Public Library,has Principle,Principle,monumentality,
Precedents,Stockholm Public Library,has Principle,Principle,cavernous,
Precedents,Stockholm Public Library,relates to,Sub-Aspects,Spatial Organisations: Centralized,
Precedents,Swatch Headquarters,is designed by,Architect,Shigeru Ban,
Precedents,Swatch Headquarters,is designed/built in,Year,2019,
Precedents,Swatch Headquarters,is located in,Location,Switzerland,
Precedents,Swatch Headquarters,has Style,Style,Contemporary,
Precedents,Swatch Headquarters,serves as a ,Programme,Commercial,
Precedents,Swatch Headquarters,is built using,Material,Wood,
Precedents,Swatch Headquarters,is built using,Material,Glass,
Precedents,Swatch Headquarters,has Attribute,Attribute,double-curved,
Precedents,Swatch Headquarters,has Attribute,Attribute,snaking,
Precedents,Swatch Headquarters,has Attribute,Attribute,colonnade,
Precedents,Swatch Headquarters,has Principle,Principle,playfulness,
Precedents,Swatch Headquarters,has Principle,Principle,environmentally friendly,
Precedents,Swatch Headquarters,relates to,Sub-Aspects,Structure: Gridshell,
Precedents,T3,is designed by,Architect,Michael Green Architecture,
Precedents,T3,is designed by,Architect,DLR Group,
Precedents,T3,is designed/built in,Year,2016,
Precedents,T3,is located in,Location,United States,
Precedents,T3,has Style,Style,Contemporary,
Precedents,T3,serves as a ,Programme,Commercial,
Precedents,T3,serves as a ,Programme,Retail,
Precedents,T3,is built using,Material,Wood,
Precedents,T3,is built using,Material,Steel,
Precedents,T3,has Attribute,Attribute,warm,
Precedents,T3,has Attribute,Attribute,inviting,
Precedents,T3,has Attribute,Attribute,lumber,
Precedents,T3,has Attribute,Attribute,pioneer,
Precedents,T3,has Principle,Principle,modern interpretation,
Precedents,T3,has Principle,Principle,state of the art,
Precedents,T3,has Principle,Principle,environmental performance,
Precedents,T3,has Principle,Principle,technical capability,
Precedents,T3,relates to,Sub-Aspects,Structure: Timber Frame,
Precedents,Tetris Hotel,is designed by,Architect,MVRDV,
Precedents,Tetris Hotel,is designed/built in,Year,2017,
Precedents,Tetris Hotel,is located in,Location,The Netherlands,
Precedents,Tetris Hotel,has Style,Style,Contemporary,
Precedents,Tetris Hotel,serves as a ,Programme,Residence,
Precedents,Tetris Hotel,serves as a ,Programme,Installation,
Precedents,Tetris Hotel,is built using,Material,Plastic,
Precedents,Tetris Hotel,has Attribute,Attribute,multicolored,
Precedents,Tetris Hotel,has Principle,Principle,futuristic,
Precedents,Tetris Hotel,has Principle,Principle,flexibility,
Precedents,Tetris Hotel,relates to,Sub-Aspects,Operation: Modular,
Precedents,The Centre Pompidou,is designed by,Architect,Richard Rogers,
Precedents,The Centre Pompidou,is designed by,Architect,Renzo Piano,
Precedents,The Centre Pompidou,is designed/built in,Year,1977,
Precedents,The Centre Pompidou,is located in,Location,France,
Precedents,The Centre Pompidou,has Style,Style,Contemporary,
Precedents,The Centre Pompidou,serves as a ,Programme,Museum,
Precedents,The Centre Pompidou,is built using,Material,Steel,
Precedents,The Centre Pompidou,is built using,Material,Concrete,
Precedents,The Centre Pompidou,has Attribute,Attribute,inside out,
Precedents,The Centre Pompidou,has Attribute,Attribute,radical,
Precedents,The Centre Pompidou,has Principle,Principle,constructivism,
Precedents,The Centre Pompidou,has Principle,Principle,high-tech,
Precedents,The Centre Pompidou,has Principle,Principle,engulf,
Precedents,The Centre Pompidou,has Principle,Principle,distinguish,
Precedents,The Centre Pompidou,relates to,Sub-Aspects,Circulation: Vertical,
Precedents,The Interlace,is designed by,Architect,Ole Scheeren,
Precedents,The Interlace,is designed/built in,Year,2013,
Precedents,The Interlace,is located in,Location,Singapore,
Precedents,The Interlace,has Style,Style,Contemporary,
Precedents,The Interlace,has Style,Style,Neo-futurism,
Precedents,The Interlace,serves as a ,Programme,Residence,
Precedents,The Interlace,is built using,Material,Concrete,
Precedents,The Interlace,has Attribute,Attribute,elevated,
Precedents,The Interlace,has Attribute,Attribute,outdoor spaces,
Precedents,The Interlace,has Attribute,Attribute,landscaping,
Precedents,The Interlace,has Attribute,Attribute,green belt,
Precedents,The Interlace,has Attribute,Attribute,courtyard,
Precedents,The Interlace,has Attribute,Attribute,terrace,
Precedents,The Interlace,has Attribute,Attribute,landmark,
Precedents,The Interlace,has Principle,Principle,hexagonal,
Precedents,The Interlace,has Principle,Principle,interlocking,
Precedents,The Interlace,has Principle,Principle,cascading,
Precedents,The Interlace,has Principle,Principle,interwoven,
Precedents,The Interlace,has Principle,Principle,interconnectivity,
Precedents,The Interlace,relates to,Sub-Aspects,Operation: Stack,
Precedents,The Millennium Dome,is designed by,Architect,Richard Rogers (RSHP),
Precedents,The Millennium Dome,is designed/built in,Year,1999,
Precedents,The Millennium Dome,is located in,Location,England,
Precedents,The Millennium Dome,has Style,Style,Contemporary,
Precedents,The Millennium Dome,has Style,Style,High-tech,
Precedents,The Millennium Dome,serves as a ,Programme,Pavilion,
Precedents,The Millennium Dome,is built using,Material,PTFE,
Precedents,The Millennium Dome,is built using,Material,Steel,
Precedents,The Millennium Dome,has Attribute,Attribute,canopy,
Precedents,The Millennium Dome,has Attribute,Attribute,flexible space,
Precedents,The Millennium Dome,has Attribute,Attribute,dome,
Precedents,The Millennium Dome,has Attribute,Attribute,steel masts,
Precedents,The Millennium Dome,has Attribute,Attribute,high-tensile cables,
Precedents,The Millennium Dome,has Principle,Principle,circular,
Precedents,The Millennium Dome,has Principle,Principle,naturally-ventilated,
Precedents,The Millennium Dome,has Principle,Principle,color-coded,
Precedents,The Millennium Dome,has Principle,Principle,adaptable,
Precedents,The Millennium Dome,relates to,Sub-Aspects,Operation: Pull,
Precedents,UFA Cinema,is designed by,Architect,COOP HIMMELB(L)AU,
Precedents,UFA Cinema,is designed/built in,Year,1998,
Precedents,UFA Cinema,is located in,Location,Germany,
Precedents,UFA Cinema,has Style,Style,Contemporary,
Precedents,UFA Cinema,serves as a ,Programme,Concert Hall / Theatre,
Precedents,UFA Cinema,is built using,Material,Glass,
Precedents,UFA Cinema,is built using,Material,Concrete,
Precedents,UFA Cinema,is built using,Material,Steel,
Precedents,UFA Cinema,has Attribute,Attribute,inside out,
Precedents,UFA Cinema,has Attribute,Attribute,circulation,
Precedents,UFA Cinema,has Attribute,Attribute,views,
Precedents,UFA Cinema,has Attribute,Attribute,lively,
Precedents,UFA Cinema,has Principle,Principle,interconnectivity,
Precedents,UFA Cinema,has Principle,Principle,multi-purposed,
Precedents,UFA Cinema,relates to,Sub-Aspects,Operation: Chamfer,
Precedents,UMass Design Building,is designed by,Architect,Leers Weinzapfel Associates,
Precedents,UMass Design Building,is designed/built in,Year,2017,
Precedents,UMass Design Building,is located in,Location,United States,
Precedents,UMass Design Building,has Style,Style,Contemporary,
Precedents,UMass Design Building,serves as a ,Programme,Education Institute,
Precedents,UMass Design Building,is built using,Material,Wood,
Precedents,UMass Design Building,is built using,Material,Steel,
Precedents,UMass Design Building,is built using,Material,Glass,
Precedents,UMass Design Building,has Attribute,Attribute,dynamic spaces,
Precedents,UMass Design Building,has Attribute,Attribute,skylit central commons,
Precedents,UMass Design Building,has Attribute,Attribute,green roof,
Precedents,UMass Design Building,has Attribute,Attribute,glazing,
Precedents,UMass Design Building,has Attribute,Attribute,skylight,
Precedents,UMass Design Building,has Attribute,Attribute,wood-concrete composite,
Precedents,UMass Design Building,has Attribute,Attribute,storm water management,
Precedents,UMass Design Building,relates to,Sub-Aspects,Structure: Timber Frame,
Precedents,Unité d'Habitation,is designed by,Architect,Le Corbusier,
Precedents,Unité d'Habitation,is designed/built in,Year,1952,
Precedents,Unité d'Habitation,is located in,Location,France,
Precedents,Unité d'Habitation,has Style,Style,Modern,
Precedents,Unité d'Habitation,serves as a ,Programme,Residence,
Precedents,Unité d'Habitation,is built using,Material,Concrete,
Precedents,Unité d'Habitation,has Attribute,Attribute,floating,
Precedents,Unité d'Habitation,has Attribute,Attribute,double height,
Precedents,Unité d'Habitation,has Attribute,Attribute,interlocking,
Precedents,Unité d'Habitation,has Attribute,Attribute,cross ventilation,
Precedents,Unité d'Habitation,has Attribute,Attribute,open volume,
Precedents,Unité d'Habitation,has Principle,Principle,multi-family,
Precedents,Unité d'Habitation,has Principle,Principle,communal,
Precedents,Unité d'Habitation,has Principle,Principle,vertical garden city,
Precedents,Unité d'Habitation,has Principle,Principle,functionally optimised,
Precedents,Unité d'Habitation,has Principle,Principle,mechanistic,
Precedents,Unité d'Habitation,has Principle,Principle,Five Points of Architecture,
Precedents,Unité d'Habitation,has Principle,Principle,brutalist,
Precedents,Unité d'Habitation,has Principle,Principle,modular,
Precedents,Unité d'Habitation,relates to,Sub-Aspects,Spatial Organisations: Linear,
Precedents,V&A Spiral,is designed by,Architect,Studio Libeskind,
Precedents,V&A Spiral,is designed/built in,Year,1996,
Precedents,V&A Spiral,is located in,Location,England,
Precedents,V&A Spiral,has Style,Style,Contemporary,
Precedents,V&A Spiral,serves as a ,Programme,Museum,
Precedents,V&A Spiral,has Attribute,Attribute,column-free spaces,
Precedents,V&A Spiral,has Attribute,Attribute,cantilever,
Precedents,V&A Spiral,has Attribute,Attribute,undulating,
Precedents,V&A Spiral,has Principle,Principle,catalysmic disruption,
Precedents,V&A Spiral,has Principle,Principle,rupture,
Precedents,V&A Spiral,has Principle,Principle,anachronistic,
Precedents,V&A Spiral,has Principle,Principle,interpenetrate,
Precedents,V&A Spiral,has Principle,Principle,folded,
Precedents,V&A Spiral,has Principle,Principle,misalign,
Precedents,V&A Spiral,has Principle,Principle,interlocking,
Precedents,V&A Spiral,relates to,Sub-Aspects,Operation: Fold,
Precedents,"Venice Hospital, Le Corbusier",is designed by,Architect,Le Corbusier,
Precedents,"Venice Hospital, Le Corbusier",is designed/built in,Year,1965,
Precedents,"Venice Hospital, Le Corbusier",is located in,Location,Italy,
Precedents,"Venice Hospital, Le Corbusier",has Style,Style,Modern,
