Architect,Attribute,Keywords,Location,Materials,Principle,Program,Project,Style,Text,Year,_id
Frank Lloyd Wright,octagonal,"Ordering Principles: Axis
asymmetrical
octagonal
","Illinois, USA","wood
glass",asymmetrical,residential,W. A. Glasner House,Prairie School,"The William A. Glasner house is a one-story residence situated on the edge of a sloping ravine on Chicago’s North Shore. Asymmetrical in plan, and broad in appearance, the house responds to the irregularities of the picturesque landscape in which it sits. The dark board and batten siding that covers the lower portion of the structure is heavy in appearance and helps root the structure in its wooded site.  The octagonal library and sewing room are evocative of the Chauncey Williams and George Furbeck houses, as well as Wright’s own studio in Oak Park. The plan indicates that a third octagonal space, a detached tea-house, was intended to be connected to the main structure by an arched bridge straddling a gulley. However, the tea-house was never realized. There is no division between the living and dining rooms, a characteristic that is often associated with architecture of the interwar period and, more specifically, Wright’s single-story Usonian houses of the mid-1930s.",1905,6100eb253a671e6970209edd
Steven Holl Architects,"intimate reading spaces
active gathering spaces
social spaces
mezzanine
compact plan
natural light
sculpted cuts","Operation: Subtract
Intimate Reading Spaces
Active Gathering Spaces
Sculpted Cuts
Programmatic Divisions
Social Spaces
Natural Light
Mezzanine
Compact Plan","Queens, US",Concrete,programmatic divisions,Library,Hunter Point Library,Modern,"Located on a prominent site along the East River, against the backdrop of rapidly built skyscraper condominiums, the 22,000 square foot Queens Public Library at Hunters Point stands as a public building and public park, bringing community-devoted space to the Long Island City waterfront. Resisting recent trends of incorporating public libraries and much-needed social space within high- end residential towers, the Hunters Point Library stands independently, rising with a minimal footprint on its 32,000 square foot site to offer maximum surrounding green space to the local community and becoming an integrated part of the vibrant public park that lines the river’s edge.
The vertical structure reimagines the traditional library model, providing a diversity of spaces from intimate reading areas to active gathering spaces. The building’s aluminum-painted concrete shell is not just a facade but a load-bearing structure, which omits curtain walls and columns. Sculpted cuts are carved out of the facade, showing the movement of people within and framing expansive views of the Manhattan skyline. 
The program's separation into children's area, teen area, and adult area can be read in the sculpted cuts of the east face of the building, one facade opening for each area; yet the programmatic divisions are fluid. Inside, warm bamboo creates an inviting social space, open to the community and offering engaging spaces for all ages. Natural light enters through the large windows from all sides, animating the space.
The digital and the book are merged through the bookshelves and adjacent digital workstations that flow upward along with a series of open stairs. A ground-level auditorium under the main section provides public meeting and events space. The stairs switch back from the mezzanine to the mezzanine, connecting reading areas and concluding in a rooftop reading terrace with views of the city and the river.
While the plan is compact, the building section of the new library is open and flowing to allow for the most energy-efficient design and the greatest amount of public green space on the site. On the east entrance side, the library faces a reading garden bordered by a low park office pavilion with a bosque of ginkgo trees.  At night the glowing presence of the Hunters Point Library along the waterfront joins the Pepsi sign and the ""Long Island"" sign at the old Gantry to become a beacon for this new community place.",2019,6100eb253a671e6970209eae
James Stirling and Michael Wilford,"non-bureaucratic 
hexgonal campanile
axes","Ordering Principle: Datum
friendly
non-bureaucratic
hexgonal campanile
axes
","Berlin, Germany","Concrete
Ceramic",friendly,institute,"Social Science Research Centre, Germany",Postmodern,"The Berlin Social Science Center was designed by James Stirling and Michael Wilford and was completed in 1988. It is the largest non-housing complex in the IBA (Internationale Bauausstellung) program. Stirling's concept was to create ""a friendly, non-bureaucratic place"" that looked more like a college than an office building. The implementation of this idea took place in a complex of buildings grouped around the former Imperial Insurance Office by August Busse in 1894.

The new buildings reference well-known typologies including a hexagonal campanile, a long building with gallery and street facade, a Greek Stoa and a fortified castle. They enclose a picturesque garden and are connected to each other by a system of axes. The elevational treatment of the buildings is relatively uniform with alternating bands of terracotta and sky blue banding for each floor with windows hooded in red sandstone.",1988,6100eb253a671e6970209ecb
Thomas Jefferson,"Doric entablature
Extended Portico
Doric Columns
Triangle Pediment
Octagonal Drum
Shallow Dome
Wooden Balustrade
","Ordering Principles: Symmetry
Doric entablature
Extended Portico
Doric Columns
Triangle Pediment
Octagonal Drum
Shallow Dome
Verticality
Wooden Balustrade
French","Albemarle County, near Charlottesville, Virginia, U.S.","Wood
Brick",Verticality,Library,Monticello ,"Neoclassical, Palladian","Monticello was the primary plantation of Thomas Jefferson, the third president of the United States, who began designing Monticello after inheriting land from his father at age 26. Located just outside Charlottesville, Virginia, in the Piedmont region, the plantation was originally 5,000 acres (20 km2). Due to its architectural and historic significance, the property has been designated a National Historic Landmark. In 1987, Monticello and the nearby University of Virginia, also designed by Jefferson, were together designated a UNESCO World Heritage Site. 
Jefferson designed the main house using neoclassical design principles described by Italian Renaissance architect Andrea Palladio and reworking the design through much of his presidency to include design elements popular in late 18th-century Europe and integrating numerous ideas of his own. Situated on the summit of an 850-foot (260 m)-high peak in the Southwest Mountains south of the Rivanna Gap, the name Monticello derives from Italian meaning ""little mountain"". 
In this later construction period, Jefferson fundamentally changed the proportions of Monticello. If the early construction gave the impression of a Palladian two-story pavilion, Jefferson’s later remodeling, based in part on the Hôtel de Salm (1782-87) in Paris, gives the impression of a symmetrical single-story brick home under an austere Doric entablature. The west garden façade—the view that is once again featured on the American nickel—shows Monticello’s most recognized architectural features. The two-column deep extended portico contains Doric columns that support a triangular pediment that is decorated by a semicircular window. Although the short octagonal drum and shallow dome provide Monticello a sense of verticality, the wooden balustrade that circles the roofline provides a powerful sense of horizontality. From the bottom of the building to its top, Monticello is a striking example of French Neoclassical architecture in the United States.
By helping to introduce classical architecture to the United States, Jefferson intended to reinforce the ideals behind the classical past: democracy, education, rationality, civic responsibility. Because he detested the English, Jefferson continually rejected British architectural precedents for those from France. In doing so, Jefferson reinforced the symbolic nature of architecture. Jefferson did not just design a building; he designed a building that eloquently spoke to the democratic ideals of the United States. This is clearly seen in the Virginia State Capitol, in the Rotunda at the University of Virginia, and especially in his own home, Monticello.",1772,6100eb253a671e6970209ebb
Buckminster Fuller,membrane,"Structure: Space Frame
fragmentation
nakedness
membrane","Montreal, Quebec","Acrylic 
Steel","fragmentation
nakedness",Environment Museum,Montreal Biosphere,Futuristic,"Geometrically, the dome is an icosahedron, a 20-sided shape formed by the interspersion of pentagons into a hexagonal grid. However, the clarity of this form is obfuscated by the fragmentation of its faces, which are subdivided into a series of equilateral triangles with minor distortions that bow the individual planar sections into shells. As a result, the aggregate composition of the dome is substantially more spherical than simple icosahedra, while the smaller units create dazzling visual complexity through sheer repetitiousness. This lattice-type structure is created entirely of three-inch steel tubes, welded at the joints and thinning gently toward the top of the structure so as to optimally distribute forces throughout the system.

Originally sheathed in a thin acrylic membrane that was destroyed by fire in 1976, the dome as originally built was more opaque and visually solid than the version experienced today. However, its present structural nakedness, though unintended by the architect, creates a beautifully legible transparency that fully reveals the ingenuity of Fuller’s design.",1967,6100eb253a671e6970209ebc
"PTW Architects
CSCEC & DESIGN","green
slicing","Structure: Space Frame
Operation: Inflate
green
slicing
irregular
organic","Beijing, China",ETFE,"irregular
organic",Stadium,National Aquatics Center Beijing,Deconstructivism,"Comprising a steel space frame, it is the largest ETFE-clad structure in the world with over 100,000 m² of ETFE pillows that are only 0.2 mm (1/125 of an inch) in total thickness. The ETFE cladding, supplied and installed by the firm Vector Foiltec, allows more light and heat penetration than traditional glass, resulting in a 30% decrease in energy costs. This choice was made in view of Beijing's goal of presenting a fully ""green"" Olympic Games, with zero net growth in total carbon emissions. Likewise, the venue was also designed to ""capture and recycle 80% of the water falling on the roof or lost from the pools.""

The outer wall is based on the Weaire–Phelan structure, a structure devised from the natural pattern of bubbles in soap lather. In the true Weaire–Phelan structure the edge of each cell is curved in order to maintain 109.5 degree angles at each vertex (satisfying Plateau's rules), but of course as a structural support system each beam was required to be straight so as to better resist axial compression. The complex Weaire–Phelan pattern was developed by slicing through bubbles in soap foam, resulting in more irregular, organic patterns than foam bubble structures proposed earlier by the scientist Kelvin. Using the Weaire–Phelan geometry, the Water Cube's exterior cladding is made of 4,000 ETFE bubbles, some as large as 9.14 meters (30 ft) across, with seven different sizes for the roof and 15 for the walls.",2007,6100eb253a671e6970209ebf
Jean Nouvel,undulating,"Operation: Slot
interlocking
undulations
neutral
monochromatic
","Doha, Qatar","concrete
stone","interlocking
neutral
monochromatic",Museum,National Museum of Qatar,Contemporary,"The building design is inspired by a mineral formation commonly found in the deserts of the Gulf region. The ‘desert rose’ is a rock formed when minerals crystallize in the crumbly soil just below the surface of a shallow salt basin. The system of interlocking disks surrounding the historic palace like necklace looks as if it’s been propagated organically. The desert-rose form evokes the culture and climate of Qatar. It emerges from the ground and merges with it. The shadows created by overhanging elements allow visitors to stroll around outside at the same time as protecting the interior from light and heat. The sand-colored concrete cladding is in harmony with the local environment.
The museum visit follows an elliptical circuit that gently rises and falls, evoking the natural undulations of the landscape. Large openings offer glimpses of the Howsh, the museum’s gardens, and Doha Bay. 
The museum is surrounded by a landscaped park that reinterprets Qatari landscapes, with alternating low dunes, flooded crops, and gardens inspired by sabkhas and oases. Containing only local plants and trees, the park tells the story of Qatar and how its people lived in and cultivated the harsh environment. It includes a heritage garden of traditional plants and large grassy areas perfect for stretching out on in the evening. A 430-car parking area is seamlessly integrated into the park.
The building is composed of large interlocking disks, spherical in section, and of different diameters and varying curvatures. Some disks are ‘horizontal’ and rest on other disks. The ‘vertical’ disks constitute the building’s support and transfer the loads of the horizontal planes to the base.  Like the exterior, the interior is a landscape of interlocking disks. The finishes are neutral and monochromatic. The floors are sand-colored polished concrete with tiny mineral aggregates. The vertical walls are coated in stuc-pierre, or stone stucco, traditional gypsum and lime-blended plaster that provides a stone look. Ceilings are covered in a microporous acoustic plaster sprayed on mineral wool.",2019,6100eb253a671e6970209ec1
Arata Isozaki,"orb
mobile
inflatable
sculptural
membrane
teamed","Operation: Inflate
Teamed
Orb
Inflatable
Leviathan
Sculptural
Membrane
Mobile",Japan,Plastic,Leviathan,Concert Hall,Ark Nova,Contemporary,"Japanese architect Arata Isozaki teamed up with Indian-born Anish Kapoor to design the orb-like structure, which is modelled on the inflatable Leviathan sculptures created by the artist for a past exhibition in Paris.
The 500-seat performance venue is designed to stage performances ranging from orchestras and chamber music to jazz, theatre, dance and art, and it will host the Lucerne Festival of music this autumn in Matsushima.
""We named the Project Ark Nova, or 'new ark', with the hope that it will become a symbol of recovery immediately after the great earthquake disaster,"" said the designers.
""Ark Nova obviously can't carry people and animals to escape from disaster, but we conceived the ark to travel packed with music and various arts, from the perspective of long-term rebuilding of culture and spirit,"" they added.
The walls of the structure are made from a stretchy plastic membrane, designed to enable quick erection and dismantling. To transport it to a new venue, the orb is completely deflated and loaded onto the back of a lorry alongside the disassembled equipment.
The designers first revealed their concept for Ark Nova back in September 2011. Arata Isozaki also recently completed the national convention centre in Qatar, while Anish Kapoor's latest collaborations include the 115 metre-high sculpture at the London 2012 Olympic Park.",2013,6100eb253a671e6970209e9e
Zaha Hadid Architects,"Expansion
Site Response","Structure: Steel Frame
Expansion
Connectivity
Site Response","Oxford,U.K. ",Steel,"connectivity
","School, Library,",Investcorp Building,Deconstructivist,"Founded in 1957, the Middle East Centre at St Antony’s College serves as the University of Oxford’s facility for research and teaching on the Arab world, Iran, Israel and Turkey from the 19 century to the present day, with its focus on the research of humanities and social sciences. The centre has been housed at 68 Woodstock Road (the former rectory of the Church of St Philip and St James, built in 1887) since 1978.
The Middle East Centre holds Oxford University’s primary collection on the modern Middle East, a world-class archive of private papers and historic photographs used by scholars and researchers with an interest in the region. The centre’s research core is the specialised library, document and photographic archive covering material from the 1800’s onwards. The archive was set up in 1961 and has grown to over 400 collections of private papers and holds more than 100,000 historic photographs.
The new Investcorp Building for the Middle East Centre provides 1,127 square metres of additional floor space and a new 117-seat lecture theatre; doubling the space available for the Middle East Centre’s expanding library & archive, and providing optimum conditions to conserve and manage the centre’s collections that were previously stored in the basement of 66 Woodstock Road.
As an integral part of the college’s on-going expansion plans, the Investcorp Building incorporates essential new facilities to meet the Middle East Centre’s increasing demand for research and academic activities. The need to expand the teaching space at the centre has become increasingly acute with student numbers growing dramatically in recent years, including many additional masters’ students and doctoral candidates.
The Invescorp Building complements the college’s ongoing development. Its design weaves through the restricted site at St Antony’s College to connect and incorporate the existing protected buildings and trees; while its stainless steel façade softly reflects natural light to echo the building’s context.
",2015,6100eb253a671e6970209eb0
Louis Kahn,"perforations 
cavernous","Circulation: Radial
miniature city
rectilinear
diagonal
orthogonal
concavity 
convexity
undulating
perforations
cavernous
","Dhaka District, Bangladesh",Concrete,"miniature city
rectilinear
diagonal
orthogonal
concavity
convexity
",Government,Sher-e-bangla Nagar,"International 
Postmodernism
Critical Regionalism","Louis Kahn’s Capitol Complex in Dhaka, Bangladesh, is an epic work in the annals of modern architecture that is still shrouded in mystery. Dhaka was a critical site of Kahn’s new overtures in the Modernist cosmos. Located at the geographical and ideological edge of that cosmos, the project literally expanded the horizon of modern architecture, which was stagnating in its own ideological doldrums. In amalgamating a primordial intensity with a modern programme, and resuscitating the eroded civic purpose of architecture, Kahn was able to articulate in Dhaka a kind of mystical Modernism (which some would describe as a precursor to Postmodernism).
What made Kahn’s ideas in Dhaka compelling was his near-mystical optimism for the virtues of architecture at a time when modern architecture was subject to an understandable assault. Through his family of forms and poetic thoughts, Kahn resorted to a re-appreciation of history and human institutions. He heralded a breach in what the Italian critic Maria Bottero saw as the closed circuits of Wright’s organicism and European rationalism, the major strands of modern architecture culture at that time. By the time Kahn arrived in Dhaka, he had internalised history and the 20th century almost seamlessly: one could say that if he was Roman in his architectural orientation, he was Mughal too. If he was modern, he was also primordial, and if he was a 20th-century architect, he was also an ancient alchemist. Dhaka was the critical venue of that transformative moment in modern architecture.
Composed as a miniature city, Sher-e-Bangla Nagar is characterised by two aggregations set on a north-south axis separated by gardens and lakes, and ordered by a network of rectilinear and diagonal elements (of buildings, landscape components and pathways). Design for the National Assembly Building’s centralised plan started predictably: within a taut orthogonal geometry, the main assembly chamber occupied the centre ringed by subservient spaces (of offices, meeting rooms, cafeterias, etc). In a progressive development of the design, elements of the outer ring gradually became detached from the main volume and increasingly gained fi gural autonomy providing light and view for the interior. In this process the taut geometry was transformed into a Baroque dynamic of concavity and convexity, with the exterior ‘facade’ undulating back and forth. The central chamber was articulated within the stunning street-like ambulatory space and an encirclement of light and air wells; light-hoods irrupted into the skyline as gigantic perforations positioned towards the city. The physiognomy of the National Assembly Building is characterised by a simultaneous autonomy and integration between the centre and the periphery.
In addition to local innovations in concrete construction for the National Assembly Building, Kahn reinvigorated the poetry of brick architecture with its powerful resonance in the region. In Kahn’s new order of a brick architecture, with its geometry of form, deep shadows, earth-hugging physiognomy, and articulation of the arch with the concrete tie, he introduced a new vocabulary in the repertoire of regional modern architecture, and perhaps inaugurated what would be later described as ‘critical regionalism’.
With the gigantic perforations in the envelope of the National Assembly Building and the brick buildings, Kahn not only created cavernous spaces of shadows in response to the tropical climate, he surreptitiously ‘landscaped’ the buildings. In allowing nature – the sun, wind and rain of the delta – to ‘invade’ an artefact, erode its envelope, make it porous, and finally repossess it, Kahn made the dynamics of weathering and landscaping visible in the building.",1963,6100eb253a671e6970209eca
Edward Suzuki Associates,"garden
tea house
raised floors
Cultural treasure
","Ordering Principles: Repetition
Garden
Cultural treasure
Tea House
Zen Buddhism
Raised Floors","Karuizawa-Machi, Japan","Wood
Glass 
Steel",zen buddhism,Residential,Katsura Imperial Villa,"Zen buddhist, Shoin-zukuri","This is a villa situated about an hour’s rapid train ride from Tokyo in a mountain resort of Karuizawa, Japan. It is basically a wooden structure with the peripheral balconies in steel. The design is adapted from passive energy principles applied in the world-famous Katsura Imperial Villa in Kyoto.

The only artificially operated system is the radiant hot-water heating embedded in the floor, running the entire length of the peripheral fenestration with heat pump air conditioning units as supplements just in case. Legal and binding design guidelines in the area required a roof slope of 1:5 minimum, eave length of 5oo mm minimum, and a limited selection of exterior coloring.
Natural passive energy means include but are not limited to the following:

1) Exterior insulation with

2) Air circulation paths in between exterior and interior finishes

3) Cross ventilation under the ground floor to protect against humidity

4) Overall cross ventilation with openable windows

5) Complete fenestration on the south with

6) Airtight, high-insulation composite sash with

7) Double-pane glass

8) Allowing low winter sun penetration and blocking high summer sun

9) Use of deciduous trees in the south similarly allowing low winter sun penetration and blocking high summer sun

10) Extended eaves to provide shade

11) Double floor living space to act as passive solar collector

12) Fireplace in the living space to burn trash

13) Ceiling fans to circulate warm air

14) Highly insulating natural Japanese stucco (with embedded maple leaves)

15) Use of laminated bamboo instead of wood for floors, built-in furniture, cabinets, doors, and closets, as bamboo is very fast-growing (and hence more ecological than wood) and profusely abundant in Japan)

16) Use of fluorescent and LED lights

17) Corrugated metal exterior finish for easy maintenance and sustainability

18) Reflective silver roofing for insulation and temperature control
",2010,6100eb253a671e6970209eb2
"Behnisch & Partner
Frei Otto
Leonhardt, Andrä und Partner","canopy
lightweight","Structure: Tensile
Operation: Pull
lightweight
sweeping canopies","Munich, Germany","Acrylic 
Steel",,Stadium,Munich Olympic Stadium,Modern,"Designed by the German architect Günther Behnisch and the engineer Frei Otto, with the assistance of John Argyris, the lightweight tent construction of the Olympiastadion was considered revolutionary for its time. This included large sweeping canopies of acrylic glass stabilized by steel cables that were used for the first time on a large scale. The idea was to imitate the Alps and to set a counterpart to the 1936 Summer Olympics in Berlin, held during the Nazi regime. The sweeping and transparent canopy was to symbolize the new, democratic and optimistic Germany. This is reflected in the official motto: ""The cheerful Games"" (""Die Heiteren Spiele"").",1972,6100eb253a671e6970209ebe
Shigeru Ban,"double-curved
snaking
colonnade","Structure: Gridshell
double-curved
snaking
playful
colonnade
environmentally friendly","Biel/Bienne, Switzerland","timber
glass","playfulness
environmentally friendly",commercial,Swatch Headquarters,Contemporary,"A double-curved timber shell constructed from 7,700 timber pieces forms the Swatch Headquarters by Shigeru Ban in Biel, Switzerland.
The watchmaker's campus centres on a 240-metre-long timber vault – one of the largest wooden structures in Europe, claims the practice.
The timber gridshell – a double-curved gridded structure  – contains the Swatch Headquarters, snaking across the street to connect to a five-storey building.
The architecture studio said the design is ""playful, innovative and provocative"" and demonstrates the capabilities of timber construction at a large scale.
The timber superstructure has been left exposed where it meets the edge of each floor plate and on the ceiling of the upper level.
A total of 2,800 facade elements in three varieties – opaque, transparent and translucent – cover the timber structure, controlling light levels and privacy throughout the interior.
The second building is made with a wooden frame with cross-laminated timber floors, and is raised above the ground on a colonnade that blends into the lower level.
At its upper level, a gondola-like protrusion from this building connects with the wooden shell of the Swatch headquarters, covering a glass bridge that leads through to a 400-seat elliptical conference hall.
Japanese architect and Pritzker prize-winner Shigeru Ban's projects seek to demonstrate the potential of wood as a construction material due to its environmentally friendly properties.",2019,6100eb253a671e6970209ece
Le Corbusier,"modules
courtyard
clerestory windows","Spatial Organisation: Grid
machine for living
seamless
interconnected
modules
clustered
courtyards
clerestory
","Venice, Italy",-,"machine for living 
seamless
 interconnected
clustered",Hospital,"Venice Hospital, Le Corbusier",Modernist,"Le Corbusier made an indelible mark on Modernist architecture when he declared “une maison est une machine-à-habiter” (“a house is a machine for living”). His belief that architecture should be as efficient as machinery resulted in such proposals such as the Plan Voisin, a proposal to transform the Second Empire boulevards of Paris into a series of cruciform skyscrapers rising from a grid of freeways and open parks.[1] Not all of Le Corbusier’s concepts, however, were geared toward such radical urban transformation. His 1965 proposal for a hospital in Venice, Italy, was notable in its attempt at seeking aesthetic harmony with its unique surroundings: an attempt not to eradicate history, but to translate it.

There was no shortage of demand for Le Corbusier’s work in Italy after the end of the Second World War. The country experienced incredible economic growth in the decades following the war; what had previously been primarily an agricultural economy rapidly transformed into a major industrial nation. The architect had already been commissioned to design a new headquarters for the Olivetti Company outside of Milan when the city of Venice approached him with their own commission for a new hospital. The new building, which would stand in the neighborhood of San Giobbe, was to serve as a facility for care of the seriously and terminally ill.

Le Corbusier’s proposal did not stand out from the rest of the city as a brazen Modernist landmark. Rather, it utilized the existing urban vocabulary to appear as a seamless continuation of the old city. The hospital was conceived as a network of interconnected modules clustered around a number of square courtyards, a clear analogue for Venice’s traditional urban fabric. As with the rest of the city’s buildings, the new hospital was supported by a number of piles driven into the Venetian silt. However, these were not typical wooden piles; in reference to his own design canon, Le Corbusier chose instead to perch the hospital atop a grid of his trademark concrete pillars, or pilotis. The overall intent was that the new hospital would extend the urban fabric rather than interrupt it.

While Le Corbusier chose to emulate the typical Venetian structural typology, he did not sacrifice functionalism to do so. The modules that comprised the hospital were to be almost identical, featuring 28 patient rooms facing onto three corridors; four of these squares, dubbed ""care units,"" were arranged around a small central square, the corners of which branched off into corridors connecting to other squares. The system was designed to allow the hospital to expand as needed in the future, ensuring it would have space both for added patient load and newly-invented medical equipment. The hospital was also vertically stratified programmatically: administrative and entry services were located at the ground level, patient bedrooms were on the top floor, and all other hospital program needs on the level between the two.

One curious aspect of the design was the lack of conventional windows in the care units. The only daylight to enter the space did so through clerestory windows along the inner corridor walls of each hospital room; an American journal considered this an “unkindness,” as it denied patients the opportunity to gaze out at the Venetian lagoon during their stay.

Another design move which elicited concern was the automobile gangway leading from the Santa Lucia Railway Station directly to the hospital’s ground level entry. Though an automobile causeway had already been built alongside the rail bridge leading from the mainland to the station, Le Corbusier’s proposal would have brought cars even further into a city that remained largely devoid of their presence – firmly out of choice. The same journal which questioned the lack of conventional windows considered the provision for automobiles “inexcusable,” even declaring that it was the one feature that would prevent the hospital from achieving the same architectural vitality as the surrounding historical structures.

Given Le Corbusier’s typical contempt for pre-existing urban fabrics, his deference to the traditional Venetian aesthetic seems anomalous. In the brief of his Plan Voisin, he decried the Haussmann-era buildings and boulevards of Paris as a grotesque mix of mismatched buildings and narrow trenches – a relic which, he insisted, was nothing short of disgusting. While he reviled Paris, however, he developed a peculiar fondness for Venice. As early as the 1930’s, he referenced the Italian city as an ideal urban model, lauding its canal network and the acceptance of multiple architectural forms and styles without the need for false, superficial continuity. While Paris would represent his Modernist desire to wipe the slate clean and build anew, it was in Venice that he would contradictorily espouse the benefits of historic preservation.

The Venice Hospital project came very late in Le Corbusier’s life; he proposed the final design only a few months before his passing in 1965. Debates over the value of the hospital as a form of urban renewal ultimately became moot as, due to a lack of funding, the city ultimately chose a different design for a site on the mainland. Nonetheless, Le Corbusier’s proposal represents the synthesis of his seemingly contradictory viewpoints – a sort of functional, Modernist historicism. It was fitting, perhaps, that Le Corbusier’s final design project was for a city that he came to admire so deeply.",1965,6100eb253a671e6970209ed8
Alvar Aalto,"Single-loaded corridor
Parallel
Sinuous
Undulating
Modular
Static
Movement","Spatial Organisations: Linear
Spatial Organisations: Orthogonal Plan
Parallel
Sinuous
Undulating
Single-loaded corridor
Modular
Juxtapose
Rectilinear
Static
Movement","Cambridge, US",Brick,rectilinear,Dorm,Baker House,Modern,"Alvar Aalto designed the Baker House in 1946 while he was a professor at the Massachussets Institute of Technology, where the dormitory is located. 
The dormitory is a curving snake slithering on its site and reflects many of Aalto's ideas of formal strategy, making it a dormitory that is both inhabited and studied by students from all over the world.  
""The site runs along the north side of the Charles River and from the very start Aalto's plans seek to find ways of maximizing the view of the river for every student. 
Early sketches show clusters of rooms facing south and, because a simple single-sided slab would not contain sufficient rooms, several ways of increasing the density: by parallel blocks in echelon, by fan-shaped ends, and by the ""giant gentle polygon"" resolving itself into a sinuous curve, that was finally adopted.""  
The building's undulating form also does not subject the views of the rooms to be oriented at right angles towards the busy street. The form established a wide variety of room shapes, creating 43 rooms and 22 different room shapes per floor that although similar, still required distinct designs for the placement of built-in furniture.  
The plan is composed around a single-loaded corridor. Aalto refused to design north-facing rooms since he wanted most rooms to have a view of the river from the east or west, and thus proposed enlarging the rooms on the western end into large double and triple rooms that receive both northern and western light.
Built with dark red rustic bricks, the modular pieces come together to create sweeping curves that juxtapose the solid limestone of the attached rectilinear common room. The common room is a calm static space in comparison to the movement of the dormitories. ",1948,6100eb253a671e6970209e9f
Antoine le Pautre,"courtyard
free plan
Baroque
French Baroque
Stone
Site response
Asymmetrical site","Ordering Princples: Symmetry
Baroque
French Baroque
Symmetry
Stone
Courtyard
Free Plan
Site response
Asymmetrical site
Adaptive reuse



",Paris,Stone,"symmetry
free plan
adaptive reuse","Hôtel particulier, Residential, Townhouse",Hotel de Beauvais,Baroque,"Hôtel de Beauvais’ façade is in the French Baroque style, common to hôtels particuliers. Strict symmetry is created using false walls and windows. The façade uses vertical bands of rusticated stone and horizontal moldings instead of orders to define major lines. The building contains several unexpected elements for an hôtel particulier. Public shops are located along the ground level, which may be a continuation of an ancient Roman tradition. The mezzanine windows, which were uncommon in Paris, may have been a throwback to High Renaissance in Rome. In the plan, there are different paths for circulation for servants and noblemen. Many unusual details of the plan: the corps de logis placed along the street with the cour d’honneur behind, the circular vestibule, the angled passage from the court to the rue de Jouy, the semicircular ending of the court, and the stair at the left rear of the court, were the result of Le Pautre’s use of the foundations of the three medieval houses that originally occupied the lot.",1656,6100eb253a671e6970209ead
Bjarke Ingels Group,"spiral
galleries
linear
Workshops
Undulating
Light
Structural glass
Views","Circulation: Ramp
Spiral
Galleries
Workshops
Narrative
Linear
Undulating
Light
Structural glass
Views
Integration","Route de France 22B, 1348 Le Chenit, Switzerland","Glass
Steel","narrative
integration","Museum, Workspace",Maison des Fondateurs,"Deconstructivist 
Modern","Swiss luxury watchmaker Audemars Piguet have announced BIG as the designers for an extension to their headquarters in Le Brassus, near Le Chenit. The design includes gallery spaces for a museum, work spaces and a guest house. Conceived as a spiralling glass pavilion embedded in the landscape, BIG's design - entilted Maison des Fondateurs - will take visitors on a narrative journey through the company's 139-year history.
The spiralling form was conceived as a response to a programmatic requirement, which called for a succession of galleries and workshops, however the logistics of the workshops required them to be connected. The spiral shape allows the workshops to be spread along the narrative path through the building, while being physically adjacent.

The roof of the structure is a continuous sheet of steel clad in brass. Its undulating form allows breaks in the roofline, giving an opportunity for light to enter and for views out. This lightweight roof is supported by structural glass walls which simultaneously control the route through the building while allowing the visitor views of the whole gallery.

In addition to the pavilion-like museum structure, the building includes a subterranean guest house, with views over the Vallée de Joux.
Commenting on the design, Bjarke Ingels said: ""Watchmaking like architecture is the art and science of invigorating inanimate matter with intelligence and performance. It is the art of imbuing metals and minerals with energy, movement, intelligence and measure – to bring it to life in the form of telling time. Unlike most machines and most buildings today that have a disconnect between the body and the mind, the hardware and the software, for the Maison des Fondateurs we have attempted to completely integrate the geometry and the performance, the form and the function, the space and the structure, the interior and the exterior in a symbiotic whole.
",2014,6100eb253a671e6970209eb8
SANAA/Kazuyo Sejima + Ryue Nishizawa,"cubes
natural light
light
clean
elegant
semi-transparent","Circulation: Vertical
cubes
dynamicity
natural light
light
clean
elegant
semi-transparent
shifting","New York, United States",aluminum,"dynamicity
shifting",Museum,New Museum,Modern,"The location context, Lower Manhattan, with its squared blocks and buildings, can be considered as starting point for the Museum image: it replies the boxes surrounding, and stacks them one on top of the other in various sizes and heights, as the plot was a playground for a composition of cubes. By small but significant shifting of the cubes, the building gets dynamicity and an attracting shape, being different but similar to the near constructions.
The program of the Museum consists of four public galleries at the first four floors, which have free and flexible spaces for exhibitions; a “white box” auditorium in the basement, Education Center at the 5th floor, offices at 6th, a multi-purpose room at the 7th. By shifting the boxes, all galleries get natural illumination, combined with artificial, and the offices and the private locals on the top floors get terraces and opening views to the cityscape.
It is in that way that the project shows its concept: by simple repeated shifting, the intention of the building is clearly readable from outside, and combines a convincing language with the need of natural light from top: all at once, with one operation, the project shows its force.
Wanting to be a light and clean object in the massive Manhattan cityscape, the materials and the façade appearance play a relevant role. The choice of a layer of anodized aluminium mesh on top of the white walls is not new and unknown to most of architects. But in the Museum it is used as a wrapped skin on all vertical surfaces, as a continuous blurring layer, that gives different light reflections and hides the offices windows, doors and balustrades of the terraces. The result is an elegant, light and white succession of surfaces, without any interruption or contamination by other elements: a semi-transparent dress for the shifting body of the building.",1977,6100eb253a671e6970209ec2
